# [H cm^-3] [K] [ergs cm^-3] [s] [dimensionless]
rho temperature pressure cooling_time HI_fraction
1.2589254118e-04 1.3161395971e+04 3.7234365703e-16 2.8771188206e+19 1.0510068510e-03 1
1.3081774743e-04 1.3012330051e+04 3.8233549263e-16 0.0000000000e+00 1.1030735717e-03 1
1.3593563909e-04 1.2883108527e+04 3.9315352568e-16 9.6647240532e+18 1.1566412127e-03 1
1.4125375446e-04 1.2756140225e+04 4.0431071903e-16 9.3555698702e+18 1.2128818734e-03 1
1.4677992676e-04 1.2635047623e+04 4.1594067436e-16 5.1950479472e+18 1.2716757682e-03 1
1.5252229565e-04 1.2515315518e+04 4.2791355854e-16 4.9815421305e+18 1.3334580018e-03 1
1.5848931925e-04 1.2400413759e+04 4.4036659397e-16 3.7542153491e+18 1.3981277998e-03 1
1.6468978655e-04 1.2286742351e+04 4.5319073308e-16 4.1276276539e+18 1.4661120218e-03 1
1.7113283042e-04 1.2178619943e+04 4.6656402780e-16 3.1219851514e+18 1.5371952055e-03 1
1.7782794100e-04 1.2075784979e+04 4.8050691200e-16 1.9556849070e+18 1.6115227323e-03 1
1.8478497974e-04 1.1950911557e+04 4.9386332395e-16 0.0000000000e+00 1.6915295342e-03 1
1.9201419386e-04 1.1832037123e+04 5.0785242932e-16 0.0000000000e+00 1.7758292818e-03 1
1.9952623150e-04 1.1718735970e+04 5.2243768370e-16 1.2310053674e+19 1.8641230138e-03 1
2.0733215735e-04 1.1607105395e+04 5.3747216036e-16 8.8047811721e+18 1.9570644031e-03 1
2.1544346900e-04 1.1509266466e+04 5.5355836828e-16 4.6796993106e+18 2.0533435483e-03 1
2.2387211386e-04 1.1415701815e+04 5.7030288136e-16 3.6950676819e+18 2.1542775389e-03 1
2.3263050672e-04 1.1323329327e+04 5.8757917871e-16 4.4612745950e+18 2.2605286829e-03 1
2.4173154808e-04 1.1235507922e+04 6.0558651698e-16 3.3836218735e+18 2.3718735295e-03 1
2.5118864315e-04 1.1152551775e+04 6.2438491766e-16 1.8584818145e+18 2.4885223393e-03 1
2.6101572157e-04 1.1070121502e+04 6.4376601897e-16 1.5499864683e+18 2.6114800388e-03 1
2.7122725793e-04 1.0992366196e+04 6.6399688210e-16 1.0598542697e+18 2.7403552528e-03 1
2.8183829313e-04 1.0894015611e+04 6.8346962444e-16 6.4238226023e+18 2.8795417191e-03 1
2.9286445646e-04 1.0804633262e+04 7.0411237934e-16 4.3476333945e+18 3.0256776919e-03 1
3.0432198871e-04 1.0716567578e+04 7.2542104243e-16 5.1696012550e+18 3.1798697642e-03 1
3.1622776602e-04 1.0629450775e+04 7.4739268801e-16 0.0000000000e+00 3.3426911147e-03 1
3.2859932476e-04 1.0546935527e+04 7.7031795098e-16 0.0000000000e+00 3.5138012713e-03 1
3.4145488738e-04 1.0480582263e+04 7.9513156283e-16 4.2460740431e+18 3.6906129216e-03 1
3.5481338923e-04 1.0418030656e+04 8.2101425269e-16 2.2864702263e+18 3.8764794536e-03 1
3.6869450645e-04 1.0356143466e+04 8.4776563401e-16 1.9571614141e+18 4.0727742624e-03 1
3.8311868496e-04 1.0294647510e+04 8.7538950331e-16 2.4611812344e+18 4.2802367867e-03 1
3.9810717055e-04 1.0237331693e+04 9.0425285721e-16 1.7129564446e+18 4.4984152635e-03 1
4.1368204024e-04 1.0179717802e+04 9.3401337650e-16 2.0086571624e+18 4.7294275735e-03 1
4.2986623471e-04 1.0126652635e+04 9.6515597076e-16 1.2505540745e+18 4.9723969632e-03 1
4.4668359215e-04 1.0073849653e+04 9.9733561853e-16 1.0877684319e+18 5.2296168121e-03 1
4.6415888336e-04 1.0021225770e+04 1.0305750652e-15 1.2200163983e+18 5.5020942278e-03 1
4.8231784822e-04 9.9987513990e+03 1.0681181845e-15 0.0000000000e+00 5.7777622454e-03 1
5.0118723363e-04 9.9985947554e+03 1.1094986143e-15 0.0000000000e+00 6.0591896133e-03 1
5.2079483286e-04 9.9993409904e+03 1.1527570027e-15 4.2223238230e+16 6.3590631794e-03 1
5.4116952655e-04 1.0000268916e+04 1.1975391340e-15 2.9109205984e+16 6.6733631717e-03 1
5.6234132519e-04 1.0000336534e+04 1.2439520260e-15 2.1887485380e+16 7.0065336780e-03 1
5.8434141337e-04 1.0001136067e+04 1.2922510703e-15 1.7278814429e+16 7.3589731850e-03 1
6.0720219569e-04 9.9982176685e+03 1.3419130091e-15 0.0000000000e+00 7.7346054131e-03 1
6.3095734448e-04 9.9992045630e+03 1.3940174121e-15 1.1936563984e+16 8.1305610188e-03 1
6.5564184942e-04 9.9998900662e+03 1.4480947968e-15 1.0174518836e+16 8.5510054001e-03 1
6.8129206906e-04 1.0007381957e+04 1.5056337464e-15 8.6579123797e+15 8.9987640895e-03 1
7.0794578438e-04 9.9995283974e+03 1.5626766380e-15 7.7030007425e+15 9.4795730863e-03 1
7.3564225446e-04 1.0000807833e+04 1.6233516581e-15 6.7918847570e+15 9.9841892865e-03 1
